gender,age,id,became_member_on (year month day),income,ever_married,kids,home_state,Cluster
M,30,ba9fb3e4a7084361914c1647d871d27e,20170418,69000.0,No,5,Nebraska,108
M,51,b0be9b4679204f82b937260a08e54eb0,20160511,55000.0,No,4,Nebraska,108
M,49,c7456a584a65425188c13311390e53c5,20180318,104000.0,No,0,Nebraska,108
M,40,f0eafd499d9c42a991e89d34a0eec489,20160602,41000.0,No,0,Nebraska,108
M,61,ad80753fc9e0485c9e6b1cc9478d827f,20180224,68000.0,No,4,Nebraska,108
M,60,050a57f4d675402ba1a06c8c49a4a200,20180424,45000.0,No,4,Nebraska,108
M,18,d62cf96d9f19459e8ddb11720f1fa78c,20161031,36000.0,No,0,Nebraska,108
M,63,bae134fdf29e4734bb7165e0ce4e8297,20171223,34000.0,No,3,Nebraska,108
M,34,1edf0aed2dcf4efc93a419a7535d5744,20140618,72000.0,No,3,Nebraska,108
M,40,4e0f4afd7d524c049f2829c9ad611ab0,20160911,79000.0,No,3,Nebraska,108
M,55,07d157fd060949a38730a1872b668c05,20160509,91000.0,No,0,Nebraska,108
M,32,04ca68b26ef14fbc96eb01ab1f2d1fc2,20150213,57000.0,No,3,Nebraska,108
M,53,fa67883b9812486bb138d5b2b7e68fb8,20180616,75000.0,No,2,Nebraska,108
M,57,a5d1040cc7f94b0cabc4965f9fd7a8ff,20140511,34000.0,No,2,Nebraska,108
M,54,062d468f10ff4489822fbdd647e57398,20140626,37000.0,No,0,Nebraska,108
M,59,7197df6ea5844a46981740fdda211f64,20150723,73000.0,No,2,Nebraska,108
M,22,39d1604b571b46a0ab365531ff42f799,20171030,49000.0,No,2,Nebraska,108
M,61,b03860a74ca14828b25aef71ae8ac3b0,20180425,53000.0,No,0,Nebraska,108
M,67,fd75302f189044e083f32152398889c5,20170915,65000.0,No,2,Nebraska,108
M,64,54d60cf626294a1685867c5f31dbf7b8,20180127,57000.0,No,3,Nebraska,108
M,54,08377118255f4374b173879fa81b8100,20180129,55000.0,No,0,Nebraska,108
M,48,e353a8882c7c49169f14ae386fc66a9b,20171226,40000.0,No,0,Nebraska,108
M,47,42047da7b4444c408754ec94d113ee5f,20170928,46000.0,No,3,Nebraska,108
M,51,8be1e5efe600413ba7e0eb768dc37cd5,20171112,67000.0,No,2,Nebraska,108
M,57,1ea1a86f17234a249151ea3785925c4c,20151016,106000.0,No,3,Nebraska,108
